CNPJ;Nome_social;Ticker;Data;preco_fechamento;outstandingshares;receita;lucro_liquido;fluxo_caixa;sales_ps;eps;cf_ps;sales_ps_3y_growth;eps_3y_growth;cf_ps_3y_growth
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2022-03-31;12,39;2.853.587;48.490.439;4.974.664;17.378.973;16,99;1,74;6,09;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2022-06-30;12,22;2.853.636;163.429.571;22.417.016;53.717.276;57,27;7,86;18,82;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2022-09-30;14,48;2.853.636;237.237.661;29.862.988;60.150.846;83,14;10,46;21,08;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2023-03-31;15,64;2.853.826;65.909.746;7.290.982;-12.562.703;23,10;2,55;-4,40;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2023-06-30;20,25;2.853.826;199.702.682;25.476.010;-2.381.876;69,98;8,93;-0,83;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2023-09-30;19,81;2.853.826;274.487.652;34.066.790;-15.367.892;96,18;11,94;-5,39;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2024-03-31;24,83;2.853.971;66.655.193;8.680.714;52.887.180;23,36;3,04;18,53;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2024-06-30;24,01;5.707.941;199.850.247;27.651.172;102.959.981;35,01;4,84;18,04;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2024-09-30;25,00;5.707.958;270.348.182;29.896.677;57.395.765;47,36;5,24;10,06;-;-;-
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2025-03-31;27,23;5.708.464;71.720.089;4.177.854;48.378.804;12,56;0,73;8,47;-0,10;-0,25;0,12
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2025-06-30;21,74;5.708.464;226.785.053;11.342.378;72.354.447;39,73;1,99;12,67;-0,11;-0,37;-0,12
00.000.000/0001-91;BCO BRASIL S.A.;BBAS3;2025-09-30;21,74;5.708.464;318.786.701;13.773.602;109.889.153;55,84;2,41;19,25;-0,12;-0,39;-0,03
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2022-03-31;19,04;363.046;1.349.016;9.200;1.746.553;3,72;0,03;4,81;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2022-06-30;15,55;363.047;4.464.736;158.038;2.898.235;12,30;0,44;7,98;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2022-09-30;16,42;363.047;6.136.269;-120.121;524.117;16,90;-0,33;1,44;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2023-03-31;9,86;363.047;1.663.470;-93.027;-;4,58;-0,26;-;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2023-06-30;10,61;363.047;2.436.864;328.745;-;6,71;0,91;-;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2023-09-30;11,22;363.047;7.257.237;54.845;-;19,99;0,15;-;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2024-03-31;9,10;363.046;2.030.086;-64.894;-;5,59;-0,18;-;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2024-06-30;8,98;363.047;6.640.641;15.855;-;18,29;0,04;-;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2024-09-30;9,09;397.842;8.737.654;256.397;-;21,96;0,64;-;-;-;-
00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;BSLI3;2025-03-31;13,20;397.842;3.095.141;199.303;-2.473.306;7,78;0,50;-6,22;0,28;1,70;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2011-03-31;11,24;1.352.634;8.551.982;1.288.848;1.189.117;6,32;0,95;0,88;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2011-06-30;9,93;1.352.634;19.459.296;1.983.019;7.275.454;14,39;1,47;5,38;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2011-09-30;7,70;1.352.634;27.786.660;4.752.816;3.450.824;20,54;3,51;2,55;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2012-03-31;8,14;1.352.634;9.270.930;1.272.468;1.088.786;6,85;0,94;0,80;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2012-06-30;7,37;1.352.634;27.602.250;3.982.380;6.758.384;20,41;2,94;5,00;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2012-09-30;6,26;1.352.634;37.900.583;4.636.970;10.639.473;28,02;3,43;7,87;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2013-03-31;3,62;1.352.634;6.799.380;-33.886;3.687.230;5,03;-0,03;2,73;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2013-06-30;2,60;1.352.634;20.589.064;303.618;5.660.374;15,22;0,22;4,18;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2013-09-30;3,50;1.352.634;28.121.282;-1.701.076;7.821.773;20,79;-1,26;5,78;-;-;-
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2014-03-31;3,69;1.352.634;8.144.159;992.953;1.990.183;6,02;0,73;1,47;-0,02;-0,08;0,19
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2014-06-30;3,78;1.352.634;24.321.131;792.969;1.992.444;17,98;0,59;1,47;0,08;-0,26;-0,35
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2014-09-30;3,88;1.352.634;27.052.950;-4.592.085;2.320.543;20;-3,39;1,72;-0,01;-;-0,12
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2015-03-31;3,40;1.352.634;8.598.882;1.113.611;1.066.453;6,36;0,82;0,79;-0,02;-0,04;-0,01
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2015-06-30;3,47;1.352.634;25.052.604;-1.694.481;1.877.307;18,52;-1,25;1,39;-0,03;-;-0,35
00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;AXIA3;2015-09-30;3,10;1.352.634;32.630.521;-8.740.719;4.451.926;24,12;-6,46;3,29;-0,05;-;-0,25
